Token,Symbol
11445,PILANIINVS
11447,CMRSL
11452,CCL
11460,JPASSOCIAT
11467,QMSMEDI
11471,EXCELINDUS
11472,LLOYDS
11483,LT
11488,KRIDHANINF
11491,APARINDS
11492,SWASTIK
11499,AMBICAAGAR
11501,FROG
11511,CENTEXT
11522,NIITLTD
11524,SECURCRED
11530,EMIL
11532,ULTRACEMCO
11536,TCS
11543,COFORGE
11549,TEXINFRA
11568,DCI
11571,PPLPHARMA
11573,FORCEMOT
11580,WESTLIFE
11581,GULFPETRO
11582,TRACXN
11596,LINCOLN
11605,INDSWFTLTD
11606,GUFICBIO
11612,PHANTOMFX
11618,ASTRAMICRO
11619,GOLDENTOBC
11624,TIL
11626,WELENT
11630,NTPC
11631,NARMADA
11637,SALSTEEL
11641,BOHRAIND
11647,KOTARISUG
11654,LALPATHLAB
11655,JBMA
11667,DWARKESH
11677,INDOCO
11684,IMPEXFERRO
11689,SUPRAJIT
11699,PATELENG
11703,ALKEM
11705,XCHANGING
11723,JSWSTEEL
11731,CONSOFINVT
11736,FRETAIL
11743,JINDALPHOT
11763,JPPOWER
11778,GOKEX
11779,ACEINTEG
11782,EVEREADY
11789,GOYALALUM
11794,SAKSOFT
11796,HPIL
11798,ALLSEC
11804,SUKHJITS
11809,IIFL
11813,SHOPERSTOP
11817,MANGALAM
11821,WELCORP
11829,SSWL
11840,NH
11845,CYBERMEDIA
11852,SURYALAXMI
11856,SHAHALLOYS
11860,JKPAPER
11864,PRIMESECU
11868,63MOONS
11872,GRANULES
11880,JSWHL
11884,MANINDS
11892,VHL
11895,DCXINDIA
11896,GEOJITFSL
11903,IPSL
11905,GENUSPOWER
11909,SWELECTES
11910,RITEZONE
11915,YESBANK
11919,MSPL
11920,VITAL
11927,NECLIFE
11932,FUSION
11935,SPLIL
11939,AMIABLE
11943,MCLEODRUSS
11956,MEDANTA
11957,IDFC
11964,SEMAC
11966,BIKAJI
11971,GOLDIAM
11975,RML
11979,HTMEDIA
11983,SASKEN
11987,ICIL
11992,SYNCOMF
11999,FCSSOFT
12000,FAZE3Q
12009,IMPAL
12015,SATINDLTD
12021,SUZLON
12022,AURIONPRO
12024,ACI
12026,RENUKA
12032,FIVESTAR
12034,BASML
12072,SCPL
12092,KAYNES
12124,DOLATALGO
12153,BBTCL
12173,HNDFDS
12188,INOXGREEN
12219,RUSTOMJEE
12231,OCCL
12384,ZIMLAB
12489,SWSOLAR
12490,VINNY
12542,AAATECH
12603,PRECAM
12643,OSIAHYPER
12686,MBAPL
12716,TEAMLEASE
12753,DJML
12809,HYBRIDFIN
12847,KRISHANA
12913,SARVESHWAR
12971,PRITIKA
12989,BAHETI
13001,DHARMAJ
13025,SECL
13035,SAFARI
13057,UNIPARTS
13061,360ONE
13072,IIFLSEC
13081,TRIVENI
13086,AIAENG
13091,EKC
13098,ARHAM
13101,VIMTALABS
13106,NAHARINDUS
13111,ORIENTCER
13116,QUICKHEAL
13121,KERNEX
13126,REPRO
13147,PVRINOX
13162,CELEBRITY
13175,NITINSPIN
13182,ROHLTD
13188,RCOM
13192,ENIL
13197,GSPL
13203,ALLETEC
13211,JAGRAN
13218,SULA
13226,GVKPIL
13240,SADBHAV
13251,SAKUMA
13260,KEC
13270,JKCEMENT
13276,LANDMARK
13278,INDOTECH
13285,M&MFIN
13288,AHL
13290,BLKASHYAP
13298,VISASTEEL
13303,IEL
13304,NITCO
13305,CENTURYPLY
13310,KEI
13321,ORTEL
13323,DOLLEX
13332,SOLARINDS
13340,ARIHANTACA
13341,GALLANTT
13342,VAKRANGEE
13349,UMA
13355,MALUPAPER
13359,KFINTECH
13367,SGL
13376,UTTAMSUGAR
13381,KKCL
13400,BHAGERIA
13404,SUNTV
13409,GPIL
13414,RSYSTEMS
13419,SUPREMEINF
13420,JETAIRWAYS
13421,EMKAY
13423,ELIN
13430,KELLTONTEC
13439,LOKESHMACH
13441,BALPHARMA
13451,RATNAMANI
13457,KAMDHENU
13463,PIONEEREMB
13471,SHIVAUM
13491,JKLAKSHMI
13496,PFOCUS
13501,ALLCARGO
13502,MOXSH
13510,AKASH
13511,MUNJALAU
13515,OMKARCHEM
13517,EMAMILTD
13522,NECCLTD
13528,GMRINFRA
13536,VIDHIING
13537,HOMESFY
13538,TECHM
13557,AVONMORE
13560,GRINDWELL
13565,RAMANEWS
13570,RBMINFRA
13572,MANUGRAPH
13577,VOLTAMP
13580,RADIANTCMS
13582,ATLANTAA
13587,ACE
13595,HOVS
13598,SELAN
13611,IRCTC
13620,ANANTRAJ
13625,BINANIIND
13634,SKYGOLD
13637,JMFINANCIL
13643,ELECON
13648,TALBROAUTO
13656,ALICON
13657,ANLON
13658,GEECEE
13668,MADHUCON
13675,NRL
13683,MBECL
13688,ACLGATI
13689,SAH
13694,INFOMEDIA
13701,GOLDKART
13702,VISHWARAJ
13710,FIEMIND
13723,JHS
13725,DCBBANK
13731,CMNL
13734,INSPIRISYS
13739,GLOBALVECT
13741,SHYAMTEL
13745,GTLINFRA
13750,FLUOROCHEM
13751,NAUKRI
13753,MANOMAY
13756,SHIVAMAUTO
13761,BBL
13766,DUCOL
13771,AARVEEDEN
13776,GESHIP
13786,TORNTPOWER
13791,PARSVNATH
13794,BAIDFIN
13796,MANALIPETC
13801,SUTLEJTEX
13810,GREENPANEL
13812,FEL
13814,KAMOPAINTS
13816,LTFOODS
13821,RUCHIRA
13826,SOBHA
13839,DONEAR
13844,MMFL
13859,VENUSREM
13868,AARTIPHARM
13870,KUANTUM
13875,JINDRILL
13880,BANCOINDIA
13890,HIRECT
13900,CREST
13920,PLASTIBLEN
